2018-02-15 22:00:42,707 INFO  [TableMetadata] - HHH000037: Columns: [default_number_of_students_per_instructor, delivery_of, created, description, learning_stage, title, type, version, created_by, duration, archived, first_learning_stage_credential, deleted, competence_order_mandatory, organization, manually_assign_students, delivery_end, id, delivery_start, visible_to_all]
2018-02-15 22:00:42,707 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_n2vyrbyyls32y7s3aq1gyyh8o, fk_p1g20qojr5ahymmq2c2hkdqh3, fk_5ve9kkyxam4skfb85dy0n55ot, fk_ox2gmlf29yl2o60nwf28avccl, fk_gwgwt3bm30pwx6lxiukyx1o03]
2018-02-15 22:00:42,707 INFO  [TableMetadata] - HHH000126: Indexes: [fk_n2vyrbyyls32y7s3aq1gyyh8o, fk_p1g20qojr5ahymmq2c2hkdqh3, fk_ox2gmlf29yl2o60nwf28avccl, uk_6vclpmt9xfxxxybg8tdc4axwt, primary, fk_gwgwt3bm30pwx6lxiukyx1o03]
2018-02-15 22:00:42,726 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential1_blogs
2018-02-15 22:00:42,730 INFO  [TableMetadata] - HHH000037: Columns: [credential1, blogs]
2018-02-15 22:00:42,730 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_dgns5f815wa0piods87ak1unv, fk_p9mlitfs7rd27q1h6x6xqrtat]
2018-02-15 22:00:42,730 INFO  [TableMetadata] - HHH000126: Indexes: [fk_dgns5f815wa0piods87ak1unv, fk_p9mlitfs7rd27q1h6x6xqrtat]
2018-02-15 22:00:42,747 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential1_excluded_feed_sources
2018-02-15 22:00:42,749 INFO  [TableMetadata] - HHH000037: Columns: [credential1, excluded_feed_sources]
2018-02-15 22:00:42,751 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_id94tkw373r7i4wpptlstjkt2, fk_116l6dplwn565owmmjwq9nchy]
2018-02-15 22:00:42,751 INFO  [TableMetadata] - HHH000126: Indexes: [fk_id94tkw373r7i4wpptlstjkt2, fk_116l6dplwn565owmmjwq9nchy]
2018-02-15 22:00:42,757 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential1_hashtags
2018-02-15 22:00:42,757 INFO  [TableMetadata] - HHH000037: Columns: [credential1, hashtags]
2018-02-15 22:00:42,757 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_2s3cange8x6y5lvxsgpulwmro, fk_5k9e4ud4n7uutdcfcp7x8xn2h]
2018-02-15 22:00:42,767 INFO  [TableMetadata] - HHH000126: Indexes: [fk_2s3cange8x6y5lvxsgpulwmro, primary]
2018-02-15 22:00:42,783 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential1_tags
2018-02-15 22:00:42,783 INFO  [TableMetadata] - HHH000037: Columns: [credential1, tags]
2018-02-15 22:00:42,783 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_e8b1q4xep66kcwhcxfag5a0cl, fk_o10dydyl21smpds2rwh7v8j4s]
2018-02-15 22:00:42,784 INFO  [TableMetadata] - HHH000126: Indexes: [fk_e8b1q4xep66kcwhcxfag5a0cl, primary]
2018-02-15 22:00:42,788 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential_assessment
2018-02-15 22:00:42,789 INFO  [TableMetadata] - HHH000037: Columns: [target_credential, created, assessor, description, assessed_student, title, message, type, points, approved, deleted, default_assessment, id]
2018-02-15 22:00:42,789 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_64x1nbncerttcr6ukwn1i10yy, fk_gluwb9m4wemvchgceb5nexndf, fk_gvcyenwhr1wjurx8srk0l65m]
2018-02-15 22:00:42,789 INFO  [TableMetadata] - HHH000126: Indexes: [fk_64x1nbncerttcr6ukwn1i10yy, fk_gluwb9m4wemvchgceb5nexndf, fk_gvcyenwhr1wjurx8srk0l65m, primary]
2018-02-15 22:00:42,795 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential_bookmark
2018-02-15 22:00:42,796 INFO  [TableMetadata] - HHH000037: Columns: [deleted, credential, created, description, id, title, user]
2018-02-15 22:00:42,796 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_n5fkjwxicertabyarbvju43c3, fk_d125vpplcb2nwcw100ck2ch7e]
2018-02-15 22:00:42,796 INFO  [TableMetadata] - HHH000126: Indexes: [fk_n5fkjwxicertabyarbvju43c3, uk_huxm5oy8mxf4gcckxuy6m5n9a, primary]
2018-02-15 22:00:42,800 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential_competence1
2018-02-15 22:00:42,800 INFO  [TableMetadata] - HHH000037: Columns: [competence, deleted, comp_order, credential, created, description, id, title]
2018-02-15 22:00:42,801 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_4j36i3b2r10ewvv85c9st8c34, fk_nw0ci3p9g1hiy4yan5w664to9]
2018-02-15 22:00:42,801 INFO  [TableMetadata] - HHH000126: Indexes: [fk_4j36i3b2r10ewvv85c9st8c34, fk_nw0ci3p9g1hiy4yan5w664to9, primary]
2018-02-15 22:00:42,822 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential_competence_assessment
2018-02-15 22:00:42,825 INFO  [TableMetadata] - HHH000037: Columns: [credential_assessment, deleted, created, competence_assessment, description, id, title]
2018-02-15 22:00:42,826 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_hs8gjt68hymusnmsuuar20med, fk_lvmp3fd0dxsxestak8yervbrq]
2018-02-15 22:00:42,828 INFO  [TableMetadata] - HHH000126: Indexes: [fk_hs8gjt68hymusnmsuuar20med, uk_cq14nxxgq3qb98h7v9dd9ubsj, primary]
2018-02-15 22:00:42,852 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential_instructor
2018-02-15 22:00:42,852 INFO  [TableMetadata] - HHH000037: Columns: [max_number_of_students, credential, id, date_assigned, user]
2018-02-15 22:00:42,852 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_5he8qwqjrj5oitt390xv1c363, fk_4c65jghtljkorcy98mnko26lt]
2018-02-15 22:00:42,852 INFO  [TableMetadata] - HHH000126: Indexes: [uk_8o1ljk3ajomrhnh8d5qfmcnls, fk_4c65jghtljkorcy98mnko26lt, primary]
2018-02-15 22:00:42,887 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential_unit
2018-02-15 22:00:42,888 INFO  [TableMetadata] - HHH000037: Columns: [unit, deleted, credential, created, description, id, title]
2018-02-15 22:00:42,888 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_10qyaft78ol2toenfodqdwc8g, fk_bcknt360dtw8rh53cphe97q45]
2018-02-15 22:00:42,888 INFO  [TableMetadata] - HHH000126: Indexes: [uk_piaytj54rr4klingo78qx9ylt, fk_bcknt360dtw8rh53cphe97q45, primary]
2018-02-15 22:00:42,916 INFO  [TableMetadata] - HHH000261: Table found: prosolo.credential_user_group
2018-02-15 22:00:42,920 INFO  [TableMetadata] - HHH000037: Columns: [user_group, deleted, credential, created, description, id, privilege, title]
2018-02-15 22:00:42,920 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_30jl08j0war3rn3u23m10uyq8, fk_m5cvxlf67t55is1xw2gxfar0i]
2018-02-15 22:00:42,932 INFO  [TableMetadata] - HHH000126: Indexes: [uk_j07j1pph3s8y22el92gth2yy5, primary, fk_m5cvxlf67t55is1xw2gxfar0i]
2018-02-15 22:00:42,947 INFO  [TableMetadata] - HHH000261: Table found: prosolo.criterion
2018-02-15 22:00:42,952 INFO  [TableMetadata] - HHH000037: Columns: [deleted, created, criterion_order, description, dtype, rubric, id, title, points]
2018-02-15 22:00:42,953 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_o7ovdmcl7pmxtdnuk3iyn2sep]
2018-02-15 22:00:42,953 INFO  [TableMetadata] - HHH000126: Indexes: [uk_e1f4a4t2ns27fm40ulwry89u8, fk_o7ovdmcl7pmxtdnuk3iyn2sep, primary]
2018-02-15 22:00:43,034 INFO  [TableMetadata] - HHH000261: Table found: prosolo.criterion_assessment
2018-02-15 22:00:43,055 INFO  [TableMetadata] - HHH000037: Columns: [assessment, deleted, criterion, level, created, description, comment, id, title]
2018-02-15 22:00:43,056 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_9qyb90jrqkmw5n80rbu2a96ix, fk_tokccjaai099w1tlwllmveoea, fk_5te0rk3j1jibjus4ltts1be4e]
2018-02-15 22:00:43,056 INFO  [TableMetadata] - HHH000126: Indexes: [fk_tokccjaai099w1tlwllmveoea, fk_5te0rk3j1jibjus4ltts1be4e, uk_goyqi7x42iorhk0tijq1xp87b, primary]
2018-02-15 22:00:43,076 INFO  [TableMetadata] - HHH000261: Table found: prosolo.criterion_level
2018-02-15 22:00:43,076 INFO  [TableMetadata] - HHH000037: Columns: [deleted, criterion, level, created, description, id, title]
2018-02-15 22:00:43,076 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_t0ynrcrm7kt8i1luj4onvhjv2, fk_9l1253t7v8atu5lytujimj09n]
2018-02-15 22:00:43,076 INFO  [TableMetadata] - HHH000126: Indexes: [uk_pquo8f8sy5d20h8f5hmivseq8, fk_t0ynrcrm7kt8i1luj4onvhjv2, primary]
2018-02-15 22:00:43,101 INFO  [TableMetadata] - HHH000261: Table found: prosolo.feed_entry
2018-02-15 22:00:43,102 INFO  [TableMetadata] - HHH000037: Columns: [image, feed_source, deleted, created, link, description, maker, subscribed_user, id, title, relevance]
2018-02-15 22:00:43,102 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_cgxvubmhf09musstvw2u00y67, fk_5mympaondc7gotjymqgd05l4i, fk_ffdgn3747cqpgdiwhxlarhp8m]
2018-02-15 22:00:43,102 INFO  [TableMetadata] - HHH000126: Indexes: [fk_cgxvubmhf09musstvw2u00y67, fk_5mympaondc7gotjymqgd05l4i, fk_ffdgn3747cqpgdiwhxlarhp8m, primary]
2018-02-15 22:00:43,111 INFO  [TableMetadata] - HHH000261: Table found: prosolo.feed_entry_hashtags
2018-02-15 22:00:43,111 INFO  [TableMetadata] - HHH000037: Columns: [hashtags, feed_entry]
2018-02-15 22:00:43,114 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_es7wwjpedyq7gxlsk0lexcj5x]
2018-02-15 22:00:43,114 INFO  [TableMetadata] - HHH000126: Indexes: [fk_es7wwjpedyq7gxlsk0lexcj5x]
2018-02-15 22:00:43,119 INFO  [TableMetadata] - HHH000261: Table found: prosolo.feed_source
2018-02-15 22:00:43,119 INFO  [TableMetadata] - HHH000037: Columns: [deleted, created, link, description, id, last_check, title]
2018-02-15 22:00:43,119 INFO  [TableMetadata] - HHH000108: Foreign keys: []
2018-02-15 22:00:43,119 INFO  [TableMetadata] - HHH000126: Indexes: [primary]
2018-02-15 22:00:43,125 INFO  [TableMetadata] - HHH000261: Table found: prosolo.feeds_digest
2018-02-15 22:00:43,125 INFO  [TableMetadata] - HHH000037: Columns: [number_of_users_that_got_email, credential, created, time_frame, feeds_subscriber, dtype, id, date_to, date_from]
2018-02-15 22:00:43,127 INFO  [TableMetadata] - HHH000108: Foreign keys: [fk_hcx2rl68idmgg2sfpnbqmv1tv, fk_j4nanu4eoo6lobqy4v64tegmf]
